hex,size,atmo,temp,hydro,pop,gov,law,travel,tech,port,fee,Ag,As,Ba,De,Fl,Ga,Hi,Ht,IC,In,Lo,Lt,NA,NI,Po,Ri,Va,Wa,Dominant Gov't,temp2,hydro2,fac1S,fac1T,fac2S,fac2T,fac3S,fac3T,fac4S,fac4T,giant,navy,scout,lab,consul,TAS,pirate
'0701,7,4,6,10,9,9,7,,13,A,-5000,,,,,,,Hi,Ht,,In,,,,,,,,Wa,Non-charismatic leader,Temperate,Underwater,minor,Non-charismatic leader,notable,Non-charismatic leader,,,,,No Gas Giant,Navy,,,Consul,,
'0104,0,0,3,0,9,9,6,,11,C,-600,,As,,,,,Hi,,,In,,,NA,,,,Va,,Civil Service bureaucracy,Cold,Dust Ball,popular,Non-charismatic leader,fringe,Civil Service bureaucracy,,,,,Gas Giant,,Scout,,,,
'0407,9,11,11,0,7,5,5,Amber,14,A,-5000,,,,De,,,,Ht,,,,,,,,,,,Charismamatic oligarchy,Hot,Dust Ball,notable,Balkanisation,fringe,Puppet government,significant,Civil Service bureaucracy,popular,Charismamatic oligarchy,Gas Giant,,,,Consul,TAS,
'0206,2,2,6,1,7,9,9,Amber,10,B,-1500,,,,,,,,,,,,,NA,,Po,,,,Puppet government,Temperate,Wasteland,significant,Feudal technocracy,notable,Civil Service bureaucracy,minor,Puppet government,,,Gas Giant,,Scout,Science,Consul,TAS,
'0607,4,2,10,4,7,7,2,Amber,12,C,-600,,,,,,,,Ht,,,,,,,,,,,Civil Service bureaucracy,Hot,Wet World,minor,Representative democracy,fringe,Puppet government,fringe,Balkanisation,obscure,Civil Service bureaucracy,Gas Giant,,,,Consul,,
'0605,6,5,9,8,7,9,8,,3,D,-20,Ag,,,,,Ga,,,,,,LT,,,,,,,Impersonal bureaucracy,Temperate,Scattered Land,notable,Balkanisation,fringe,Puppet government,significant,Impersonal bureaucracy,,,Gas Giant,,Scout,,,,
'0603,9,6,8,10,6,7,12,Amber,11,C,-100,,,,,,,,,,,,,,NI,,Ri,,Wa,Balkanisation,Temperate,Underwater,obscure,Puppet government,significant,Feudal technocracy,notable,Balkanisation,,,No Gas Giant,,,Science,,,
'0808,5,6,8,5,6,3,0,Amber,6,C,-200,Ag,,,,,Ga,,,,,,,,NI,,Ri,,,Company/Corporation,Temperate,Large Oceans,minor,Charismatic dictatorship,significant,Feudal technocracy,notable,Self-perpetuating oligarchy,notable,Company/Corporation,Gas Giant,,Scout,,,TAS,
'0205,4,7,8,0,6,6,7,,9,A,-1000,,,,De,,,,,,,,,,NI,,,,,Company/Corporation,Temperate,Dust Ball,notable,Self-perpetuating oligarchy,fringe,Company/Corporation,,,,,Gas Giant,Navy,,Science,Consul,,
'0606,10,10,10,8,6,7,2,Amber,13,B,-1000,,,,,Fl,,,Ht,,,,,,NI,,,,,Balkanisation,Hot,Scattered Land,minor,Non-charismatic leader,minor,Puppet government,minor,Representative democracy,notable,Balkanisation,Gas Giant,,,Science,Consul,TAS,Pirate
'0703,6,2,6,10,6,4,4,,12,B,-1500,,,,,,,,Ht,,,,,,NI,,,,Wa,Feudal technocracy,Temperate,Underwater,minor,Feudal technocracy,minor,Puppet government,notable,Feudal technocracy,,,Gas Giant,,,,,TAS,
'0609,6,4,6,7,6,6,4,,3,D,-30,Ag,,,,,Ga,,,,,,LT,,NI,,,,,Self-perpetuating oligarchy,Temperate,Earth-like,significant,Charismatic dictatorship,fringe,Feudal technocracy,notable,Feudal technocracy,notable,Self-perpetuating oligarchy,Gas Giant,,Scout,,,,
'0604,2,3,5,3,6,6,8,,6,E,0,,,,,,,,,,,,,NA,NI,Po,,,,Participating democracy,Temperate,Scattered Seas,notable,Impersonal bureaucracy,significant,Participating democracy,significant,Charismatic dictatorship,obscure,Participating democracy,Gas Giant,,,,,,
'0403,7,3,3,10,6,3,6,,6,E,0,,,,,,,,,,,,,,NI,,,,Wa,Puppet government,Cold,Underwater,notable,Impersonal bureaucracy,minor,Balkanisation,significant,Puppet government,,,Gas Giant,,,,,,
'0510,3,3,3,1,6,4,4,,5,X,0,,,,,,,,,,,,LT,NA,NI,Po,,,,Participating democracy,Cold,Wasteland,minor,Civil Service bureaucracy,fringe,Charismatic dictatorship,fringe,Participating democracy,,,No Gas Giant,,,,,,
'0602,4,4,10,0,5,5,9,Amber,11,B,-2000,,,,De,,,,,,,,,,NI,Po,,,,Self-perpetuating oligarchy,Hot,Dust Ball,minor,Participating democracy,notable,Self-perpetuating oligarchy,,,,,Gas Giant,,Scout,,Consul,,
'0801,8,9,13,4,5,5,4,,8,C,-200,Ag,,,,,Ga,,,,,,,,NI,,,,,None/Tribal/Anarchy,Roasting,Wet World,notable,Civil Service bureaucracy,obscure,Civil Service bureaucracy,fringe,Self-perpetuating oligarchy,notable,None/Tribal/Anarchy,Gas Giant,,Scout,Science,,,
'0301,2,0,3,0,5,5,4,,8,C,-200,,,,,,,,,,,,,,NI,,,Va,,Feudal technocracy,Cold,Dust Ball,notable,Participating democracy,minor,Representative democracy,fringe,Self-perpetuating oligarchy,obscure,Feudal technocracy,Gas Giant,,,,,TAS,
'0108,4,8,6,8,5,4,5,,5,C,-200,Ag,,,,,,,,,,,LT,,NI,,,,,Impersonal bureaucracy,Temperate,Scattered Land,notable,Participating democracy,fringe,Civil Service bureaucracy,fringe,Self-perpetuating oligarchy,fringe,Impersonal bureaucracy,No Gas Giant,,Scout,,,,
'0402,10,8,8,10,5,5,5,,10,D,-40,,,,,,,,,,,,,,NI,,,,Wa,Company/Corporation,Temperate,Underwater,minor,Balkanisation,minor,Impersonal bureaucracy,notable,Company/Corporation,,,Gas Giant,,Scout,,,,Pirate
'0409,4,7,7,5,5,5,8,,4,D,-30,Ag,,,,,,,,,,,LT,,NI,,,,,Self-perpetuating oligarchy,Temperate,Large Oceans,minor,Representative democracy,notable,Self-perpetuating oligarchy,fringe,Self-perpetuating oligarchy,,,Gas Giant,,Scout,,,,
'0505,3,4,3,0,5,6,5,,3,X,0,,,,De,,,,,,,,LT,,NI,Po,,,,Balkanisation,Cold,Dust Ball,notable,Representative democracy,minor,Puppet government,popular,Balkanisation,,,Gas Giant,,,,,,
'0307,3,2,4,0,4,0,1,Amber,16,A,-4000,,,,De,,,,Ht,,,,,,NI,Po,,,,Participating democracy,Cold,Dust Ball,notable,Civil Service bureaucracy,minor,Company/Corporation,obscure,Self-perpetuating oligarchy,minor,Participating democracy,No Gas Giant,Navy,,Science,Consul,TAS,
'0406,4,5,2,3,4,7,5,Amber,15,A,-6000,,,,,,,,Ht,,,,,,NI,Po,,,,Company/Corporation,Frozen,Scattered Seas,significant,Company/Corporation,minor,Civil Service bureaucracy,significant,Balkanisation,minor,Company/Corporation,Gas Giant,Navy,,,Consul,TAS,
'0304,8,6,2,10,4,6,3,,15,A,-5000,,,,,,,,Ht,,,,,,NI,,,,Wa,Representative democracy,Frozen,Underwater,notable,None/Tribal/Anarchy,fringe,Representative democracy,notable,Company/Corporation,minor,Representative democracy,Gas Giant,,,Science,Consul,TAS,
'0608,4,2,3,7,4,5,2,,9,B,-1500,,,,,,,,,,,,,,NI,,,,,Puppet government,Cold,Earth-like,obscure,Company/Corporation,minor,Feudal technocracy,obscure,Self-perpetuating oligarchy,minor,Puppet government,Gas Giant,,Scout,,Consul,,
'0501,5,6,2,8,4,5,4,,9,B,-3000,,,,,,Ga,,,,,,,,NI,,,,,Company/Corporation,Frozen,Scattered Land,significant,Impersonal bureaucracy,significant,Company/Corporation,,,,,Gas Giant,Navy,Scout,Science,,,
'0410,4,0,7,0,4,4,9,Amber,8,C,-600,,,,,,,,,,,,,,NI,,,Va,,Puppet government,Temperate,Dust Ball,fringe,Representative democracy,notable,Puppet government,,,,,Gas Giant,,,Science,Consul,,
'0308,5,9,12,0,4,4,6,,5,D,-30,,,,De,,,,,,,,LT,,NI,,,,,Feudal technocracy,Roasting,Dust Ball,popular,Representative democracy,notable,Puppet government,fringe,Representative democracy,minor,Feudal technocracy,Gas Giant,,Scout,,,,Pirate
'0807,3,4,6,3,4,3,5,,3,X,0,,,,,,,,,,,,LT,,NI,Po,,,,Puppet government,Temperate,Scattered Seas,obscure,Civil Service bureaucracy,fringe,Puppet government,,,,,Gas Giant,,,,,,
'0309,6,5,2,5,4,0,0,Amber,2,X,0,,,,,,Ga,,,,,,LT,,NI,,,,,Feudal technocracy,Frozen,Large Oceans,fringe,Feudal technocracy,fringe,Representative democracy,notable,Feudal technocracy,,,Gas Giant,,,,,,
'0404,2,0,7,2,3,2,0,Amber,14,A,-1000,,,,,,,,Ht,,,Lo,,,,,,Va,,None/Tribal/Anarchy,Temperate,Dead Seas,obscure,Representative democracy,fringe,None/Tribal/Anarchy,,,,,Gas Giant,,,,Consul,,
'0102,3,5,5,3,3,2,0,Amber,11,A,-2000,,,,,,,,,,,Lo,,,,Po,,,,Puppet government,Temperate,Scattered Seas,fringe,Participating democracy,fringe,None/Tribal/Anarchy,significant,Participating democracy,notable,Puppet government,Gas Giant,Navy,,Science,Consul,TAS,
'0709,5,7,5,7,3,0,2,Amber,8,C,-300,,,,,,Ga,,,,,Lo,,,,,,,,Company/Corporation,Temperate,Earth-like,fringe,Company/Corporation,minor,Puppet government,significant,Company/Corporation,minor,Company/Corporation,No Gas Giant,,Scout,,,,
'0805,6,7,8,6,3,3,5,,8,C,-400,,,,,,Ga,,,,,Lo,,,,,,,,Self-perpetuating oligarchy,Temperate,Near-Earth,minor,Self-perpetuating oligarchy,notable,None/Tribal/Anarchy,notable,Self-perpetuating oligarchy,notable,Self-perpetuating oligarchy,No Gas Giant,,,,,,
'0109,8,11,13,0,3,4,1,Amber,9,E,0,,,,De,,,,,,,Lo,,,,,,,,Civil Service bureaucracy,Roasting,Dust Ball,obscure,Participating democracy,popular,Company/Corporation,fringe,Representative democracy,notable,Civil Service bureaucracy,No Gas Giant,,,,,,
'0601,5,10,7,4,3,5,4,Amber,8,E,0,,,,,Fl,,,,,,Lo,,,,,,,,Self-perpetuating oligarchy,Temperate,Wet World,notable,Self-perpetuating oligarchy,minor,Self-perpetuating oligarchy,,,,,Gas Giant,,,,,,
'0101,1,0,7,0,3,0,0,Amber,8,X,0,,,,,,,,,,,Lo,,,,,,Va,,Representative democracy,Temperate,Dust Ball,notable,None/Tribal/Anarchy,notable,Participating democracy,notable,Representative democracy,,,No Gas Giant,,,,,,
'0506,10,11,16,3,2,0,2,Amber,10,A,-4000,,,,,Fl,,,,,,Lo,,,,,,,,Participating democracy,Roasting,Scattered Seas,minor,Representative democracy,significant,Self-perpetuating oligarchy,minor,None/Tribal/Anarchy,minor,Participating democracy,Gas Giant,Navy,,,,TAS,
'0110,2,2,3,3,2,2,2,,11,B,-3000,,,,,,,,,,,Lo,,,,Po,,,,None/Tribal/Anarchy,Cold,Scattered Seas,significant,Participating democracy,fringe,None/Tribal/Anarchy,,,,,Gas Giant,Navy,,,Consul,,Pirate
'0508,8,10,4,8,2,3,5,Amber,8,C,-100,,,,,Fl,,,,,,Lo,,,,,,,,Balkanisation,Cold,Scattered Land,fringe,Company/Corporation,notable,Balkanisation,,,,,Gas Giant,,Scout,,,,
'0209,8,11,9,2,1,1,6,Amber,10,B,-1500,,,,,Fl,,,,,,Lo,,,,,,,,None/Tribal/Anarchy,Temperate,Dead Seas,notable,None/Tribal/Anarchy,obscure,Feudal technocracy,notable,None/Tribal/Anarchy,minor,None/Tribal/Anarchy,Gas Giant,,,Science,,TAS,
'0704,7,8,5,8,1,5,3,,7,B,-500,,,,,,Ga,,,,,Lo,,,,,,,,Participating democracy,Temperate,Scattered Land,significant,None/Tribal/Anarchy,obscure,Participating democracy,,,,,Gas Giant,,Scout,,Consul,TAS,
'0303,7,6,2,4,1,0,0,Amber,8,C,-400,,,,,,Ga,,,,,Lo,,,,,,,,None/Tribal/Anarchy,Frozen,Wet World,minor,None/Tribal/Anarchy,fringe,None/Tribal/Anarchy,notable,Feudal technocracy,minor,None/Tribal/Anarchy,No Gas Giant,,Scout,Science,,,
'0103,7,5,7,7,1,5,9,Amber,6,C,-400,,,,,,Ga,,,,,Lo,,,,,,,,None/Tribal/Anarchy,Temperate,Earth-like,minor,Feudal technocracy,obscure,None/Tribal/Anarchy,minor,None/Tribal/Anarchy,,,Gas Giant,,,,,TAS,
'0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'0106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'0107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'0201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'0202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'0203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'0207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'0208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'0210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
